pct.exp,features.plot,id,avg.exp.scaled
24.42899702,MYH7,CF,-0.250817086
5.532699674,MYH6,CF,-0.349272149
33.5792311,NPPA,CF,-0.284735695
0.397219464,HAND1,CF,-0.282886309
37.06908781,MYL2,CF,-0.026687271
2.057029366,GJA5,CF,-0.542893525
6.639239608,TBX5,CF,-0.262117547
36.47325862,MYL4,CF,-0.269676748
35.83487019,MYL3,CF,-0.101338264
3.731025677,MYOCD,CF,-0.470946639
8.284863101,MYBPC3,CF,-0.332071755
0.72350688,CDH5,CF,-0.669462518
1.049794297,PECAM1,CF,-0.668481531
6.625053199,APLNR,CF,-0.428652782
0.312101007,SOX17,CF,-0.514647691
0.638388424,KDR,CF,-0.712922457
0.340473826,DLL4,CF,-0.551265447
1.347708895,FLT1,CF,-0.626096104
1.049794297,ROBO4,CF,-0.632447129
28.67073344,RGCC,CF,0.184309743
12.90963257,NRP2,CF,-0.637690218
9.675131224,TGFB1,CF,-0.691158571
1.106539935,FABP4,CF,-0.742566327
6.809476521,NFATC1,CF,-0.317219175
46.44630444,CDH11,CF,0.149218664
0.127677685,KLF1,CF,-0.417092672
0.993048659,TAL1,CF,-0.628102488
99.47510285,VIM,CF,0.748208394
97.20527734,COL3A1,CF,1.267206962
97.80110654,COL1A1,CF,1.629567855
12.92381898,RSPO3,CF,0.137987584
87.68619662,MFAP4,CF,1.446590861
70.97460633,TAGLN,CF,0.682688363
33.46573982,PDGFRB,CF,0.128171056
2.865654703,MYH11,CF,-0.333077338
59.1857001,ACTA2,CF,0.416656136
94.77940133,DCN,CF,2.205054294
87.26060434,LUM,CF,2.5
28.00397219,TBX18,CF,0.660153297
88.04085686,TCF21,CF,2.5
12.90963257,WT1,CF,0.355575139
49.82266988,DDR2,CF,1.339427185
18.70415648,MYH7,OFT,-0.311994812
7.212713936,MYH6,OFT,-0.32631396
26.0391198,NPPA,OFT,-0.434158787
0.488997555,HAND1,OFT,-0.254136363
25.30562347,MYL2,OFT,-0.253895621
2.567237164,GJA5,OFT,-0.543155647
8.190709046,TBX5,OFT,-0.195388676
33.00733496,MYL4,OFT,-0.409944491
33.61858191,MYL3,OFT,-0.193818231
9.902200489,MYOCD,OFT,-0.150347847
7.457212714,MYBPC3,OFT,-0.363645257
1.100244499,CDH5,OFT,-0.688891347
0.97799511,PECAM1,OFT,-0.713489474
16.2591687,APLNR,OFT,-0.249431808
0.122249389,SOX17,OFT,-0.526502789
0.611246944,KDR,OFT,-0.736765692
0.733496333,DLL4,OFT,-0.488226629
2.567237164,FLT1,OFT,-0.614277797
0.855745721,ROBO4,OFT,-0.65225168
4.156479218,RGCC,OFT,-0.642196928
19.68215159,NRP2,OFT,-0.396667079
10.02444988,TGFB1,OFT,-0.602926573
1.589242054,FABP4,OFT,-0.741292604
5.134474328,NFATC1,OFT,-0.465808947
66.13691932,CDH11,OFT,0.746321517
0.244498778,KLF1,OFT,-0.408437407
0,TAL1,OFT,-0.826177446
99.75550122,VIM,OFT,0.378051089
98.8997555,COL3A1,OFT,1.370952596
99.63325183,COL1A1,OFT,1.500051803
15.15892421,RSPO3,OFT,0.670995197
88.87530562,MFAP4,OFT,1.288488538
75.18337408,TAGLN,OFT,0.934637186
53.66748166,PDGFRB,OFT,0.700562609
6.234718826,MYH11,OFT,0.106858482
73.10513447,ACTA2,OFT,0.966183341
78.48410758,DCN,OFT,1.654167921
60.14669927,LUM,OFT,1.948218606
19.80440098,TBX18,OFT,0.33060162
55.25672372,TCF21,OFT,1.338785244
8.557457213,WT1,OFT,0.137270954
49.26650367,DDR2,OFT,1.280655286
19.94609164,MYH7,SMC,-0.226857435
5.929919137,MYH6,SMC,-0.278827155
28.84097035,NPPA,SMC,-0.305378287
0.539083558,HAND1,SMC,-0.216854516
27.22371968,MYL2,SMC,-0.279292063
21.56334232,GJA5,SMC,-0.015961132
2.69541779,TBX5,SMC,-0.43283592
50.13477089,MYL4,SMC,-0.042527273
25.606469,MYL3,SMC,-0.265505496
56.87331536,MYOCD,SMC,1.363070294
8.894878706,MYBPC3,SMC,-0.159919502
0.269541779,CDH5,SMC,-0.710879088
0,PECAM1,SMC,-0.733050769
2.156334232,APLNR,SMC,-0.593327374
0.539083558,SOX17,SMC,-0.511433655
1.347708895,KDR,SMC,-0.725378265
2.964959569,DLL4,SMC,-0.381567494
0.539083558,FLT1,SMC,-0.686297918
1.347708895,ROBO4,SMC,-0.646359429
